,product_Nom,product_Marque,product_Categorie,product_Prix
56,CAUDALIE EAU DE BEAUTE 30 ML,ARNAUD,Premium,395.02
57,CAUDALIE EAU DE RAISIN 75ML,ARNAUD,Premium,360.02
58,CAUDALIE EAU DES VIGNES EAU FRAÎCHE – 50 ML,ARNAUD,Premium,370.02
59,CAUDALIE EAU FRAÎCHE THÉ DES VIGNES – 100 ML,ARNAUD,Premium,260.01
60,CAUDALIE FLEUR DE VIGNE EAU FRAÎCHE –  50 ML,ARNAUD,Premium,440.02
61,CAUDALIE GEL DOUCHE SOLEIL DES VIGNES  200ML,ARNAUD,Premium,385.02
62,CAUDALIE LOTION TONIQUE HYDRATANTE 200ML,ARNAUD,Premium,110.01
63,CAUDALIE RESVERATROL BAUME LIFTANT REGARD -15 ML,ARNAUD,Premium,299.01
64,CAUDALIE RESVERATROL CREME CACHEMIRE REDENSIFIANTE 50 ML,ARNAUD,Premium,360.02
65,CAUDALIE RESVERATROL CREME TISANE DE NUIT – 50 ML,ARNAUD,Premium,360.02
66,CAUDALIE RESVERATROL FLUIDE CACHEMIRE REDENSIFIANT  40ML,ARNAUD,Premium,380.02
67,CAUDALIE RESVERATROL SERUM LIFTANT FERMETÉ  30 ML,ARNAUD,Premium,275.01
68,CAUDALIE ROSE DE VIGNE EAU FRAÎCHE – 50 ML,ARNAUD,Premium,310.02
69,CAUDALIE SOIN CORPS NOURRISSANT THÉ DES VIGNES – 200 ML,ARNAUD,Premium,445.02
70,"CAUDALIE SOIN DES LÈVRES – 4,5 G",ARNAUD,Premium,445.02
71,CAUDALIE TEINT DIVIN CRÈME TEINTÉE PEAUX MATES – 30 ML,ARNAUD,Premium,445.02
72,CAUDALIE VINOCLEAN MOUSSE NETTOYANTE FLEUR DE VIGNE 150ML,ACADEMIE,Premium,540.0
73,CAUDALIE VINOFRESH DEODORANT STICK NATUREL 50G,ACADEMIE,Premium,520.0
74,CAUDALIE VINOPERFECT CRÈME MAINS ANTI-TACHES – 50 ML,ACADEMIE,Premium,540.0
75,CAUDALIE VINOPERFECT SERUM ECLAT ANTI TACHES 30M L,ACADEMIE,Premium,520.0
76,CAUDALIE VINOPURE LOTION PURIFIANTE 200 ML,ACADEMIE,Premium,540.0
77,CAUDALIE VINOSOURCE CREME SORBET HYDRATANTE 40 ML,ACADEMIE,Premium,344.0
78,CAUDALIE VINOSOURCE CREME SOS HYDRATATION INTENSE 50ML,ACADEMIE,Premium,324.0
79,CAUDALIE VINOSOURCE HYDRA HUILE DE NUIT RÉGÉNÉRANTE BIO 30ml,ACADEMIE,Premium,568.0
80,CHRISTOPHE ROBIN BABY BLONDE DUO 150ML,ACADEMIE,Premium,296.0
81,CHRISTOPHE ROBIN BRUME HYDRATANTE A L’ALOE VERA 150ML,ACADEMIE,Premium,512.0
82,CHRISTOPHE ROBIN BRUME VOLUME NATUREL À L’EAU DE ROSE 150ML,ACADEMIE,Premium,192.0
83,CHRISTOPHE ROBIN CREME BOUCLES FABULEUSES A L’HUILE DE LIN,ACADEMIE,Premium,576.0
